osmid,x,y,1,2,3,4,5,6,7,8,9,10
408799963,34.7508801,-0.0996233,22.299999237060547,47.79999923706055,50.79999923706055,76.69999694824219,91.19999694824219,91.19999694824219,121.19999694824219,125.9000015258789,143.60000610351562,163.0
10928804946,34.7509131,-0.09961000000000002,25.5,51.0,54.0,78.9000015258789,88.0,88.0,118.0,122.69999694824219,145.8000030517578,159.8000030517578
408800044,34.7508524,-0.0997221,14.300000190734863,39.79999923706055,42.79999923706055,79.0,85.80000305175781,85.80000305175781,131.60000610351562,136.3000030517578,145.89999389648438,173.39999389648438
408800009,34.7507971,-0.09959929999999999,13.899999618530273,39.400001525878906,42.400001525878906,68.30000305175781,99.5999984741211,99.5999984741211,117.0,134.3000030517578,135.1999969482422,171.39999389648438
10565870623,34.7511998,-0.0994737,53.70000076293945,79.19999694824219,82.19999694824219,94.5,106.9000015258789,116.19999694824219,116.19999694824219,131.60000610351562,146.0,173.8000030517578
10939855333,34.7509248,-0.09964859999999999,29.100000381469727,54.599998474121094,57.599998474121094,82.5,84.4000015258789,84.4000015258789,121.5999984741211,126.30000305175781,149.39999389648438,163.39999389648438
10928804945,34.7508891,-0.099567,29.899999618530273,55.400001525878906,58.400001525878906,74.5,92.4000015258789,92.4000015258789,113.5999984741211,119.5,141.39999389648438,156.60000610351562
408800039,34.7511911,-0.1004418,15.0,15.0,85.0999984741211,110.5999984741211,113.30000305175781,149.8000030517578,202.39999389648438,207.10000610351562,216.0,216.0
408800037,34.7507617,-0.09968669999999999,4.699999809265137,30.200000762939453,33.20000076293945,69.4000015258789,95.4000015258789,95.4000015258789,126.19999694824219,136.3000030517578,143.5,180.60000610351562
1172744997,34.750529,-0.09902409999999999,11.800000190734863,60.5,70.4000015258789,78.69999694824219,95.9000015258789,98.9000015258789,115.0999984741211,141.10000610351562,155.10000610351562,155.10000610351562
408799965,34.762613,-0.10616710000000003,456.8999938964844,628.9000244140625,645.4000244140625,666.0,667.2000122070312,745.7999877929688,749.0,813.7000122070312,828.7000122070312,837.2999877929688
7223336879,34.76207000000001,-0.10687359999999997,421.0,566.0999755859375,633.5999755859375,708.2000122070312,746.5,784.7000122070312,796.2999877929688,828.2999877929688,843.0,849.5
769187962,34.7606211,-0.10435559999999998,214.89999389648438,386.8999938964844,424.0,425.20001220703125,503.79998779296875,571.7000122070312,586.7000122070312,639.9000244140625,644.4000244140625,661.0
6363813694,34.7643613,-0.10668650000000003,586.7000122070312,619.2000122070312,675.0,683.7000122070312,683.7000122070312,749.0999755859375,749.0999755859375,749.0999755859375,791.2000122070312,807.7000122070312
1849118683,34.7616984,-0.1073751,365.5,510.6000061035156,578.0999755859375,729.2000122070312,740.7999877929688,760.0999755859375,787.5,794.0,798.4000244140625,798.5
7223336880,34.7626414,-0.10731439999999998,485.20001220703125,630.2999877929688,697.7999877929688,772.4000244140625,810.7000122070312,848.9000244140625,860.5,892.5,900.0,900.0
1849118669,34.7597066,-0.1052088,103.5999984741211,316.20001220703125,467.29998779296875,478.8999938964844,498.20001220703125,525.5999755859375,532.0999755859375,536.5,536.5999755859375,718.7000122070312
1814628909,34.7599031,-0.10354760000000002,290.70001220703125,311.1000061035156,327.79998779296875,329.0,407.6000061035156,475.5,490.5,543.7000122070312,548.2000122070312,564.7999877929688
1849118684,34.766529,-0.10736369999999999,384.70001220703125,473.0,481.70001220703125,481.70001220703125,547.0999755859375,547.0999755859375,547.0999755859375,810.7999877929688,821.2000122070312,900.0
6363813684,34.7643176,-0.1083531,747.5,780.0,835.7999877929688,844.5,844.5,900.0,900.0,900.0,900.0,900.0
408799967,34.7512619,-0.10046879999999998,7.5,7.5,92.5999984741211,118.0999984741211,120.80000305175781,157.3000030517578,204.5,208.60000610351562,208.60000610351562,208.60000610351562
10928804950,34.7512929,-0.1004551,4.5,4.5,95.5999984741211,121.0999984741211,123.80000305175781,160.3000030517578,201.5,206.1999969482422,211.60000610351562,211.60000610351562
408800097,34.7512367,-0.10053459999999999,14.399999618530273,14.399999618530273,94.4000015258789,115.80000305175781,118.80000305175781,159.10000610351562,201.6999969482422,201.6999969482422,201.6999969482422,201.6999969482422
